distribution_type,quantity,mean,median,lower_2_5_pct,upper_97_5_pct,minimum,maximum
Prior,Pooled odds ratio,1.1430757700178629,1.0152732849302142,0.37816045513350444,2.7321481442650404,0.21292755725305312,4.833788097207628
Posterior,Pooled odds ratio,0.7820358129460343,0.7802544511323083,0.6903474708409896,0.8844380279876808,0.5720114456305956,1.0250367334157218
Prior,Between-study heterogeneity: tau,0.40621777231900097,0.34526855486791613,0.016003636135598222,1.1299560952892787,0.00011986746226293463,1.8880047337892363
Posterior,Between-study heterogeneity: tau,0.12553031647619486,0.11817549766798771,0.008023530744305308,0.29490322038395206,3.863476537594551e-05,0.6503886650689943
