scenario,mu_prior,tau_prior,posterior_pooled_or_mean,posterior_pooled_or_median,posterior_pooled_or_lower_95,posterior_pooled_or_upper_95,probability_pooled_or_below_1,probability_pooled_or_below_0_90,probability_pooled_or_below_0_80,posterior_tau_mean,posterior_tau_median,posterior_tau_lower_95,posterior_tau_upper_95,probability_tau_above_0_10,probability_tau_above_0_20,future_trial_or_mean,future_trial_or_median,future_trial_or_lower_95,future_trial_or_upper_95,probability_future_trial_or_below_1,divergences,maximum_r_hat,minimum_ess_bulk,minimum_ess_tail
Primary weakly informative prior,"Normal(0, 0.5)",HalfNormal(0.5),0.7820358129460343,0.7802544511323083,0.6903474708409896,0.8844380279876808,0.9999166666666667,0.9864166666666667,0.6666666666666666,0.12553031647619486,0.11817549766798771,0.008023530744305308,0.29490322038395206,0.5896666666666667,0.16583333333333333,0.7907733272668389,0.7785514063276825,0.5621086238159828,1.1024378753865554,0.9425833333333333,0,1.002004,2646.762885,4027.651643
Skeptical treatment-effect prior,"Normal(0, 0.25)",HalfNormal(0.5),0.7885382191351027,0.7861062025284355,0.7018318582314905,0.8908357116043103,0.9999,0.9818,0.6168,0.12350748275826211,0.11677628191331388,0.006787271767122893,0.2896357571344754,0.5846,0.1614,0.7982441202700679,0.7841506683843115,0.5708083918377664,1.1130496884274226,0.9364,0,1.003753,1814.54235,2914.455395
Broad treatment-effect and heterogeneity priors,"Normal(0, 1.0)",HalfNormal(1.0),0.7793319429509096,0.7773559566928165,0.686888445759942,0.8840700526625282,0.9997,0.9863,0.6831,0.12720740245383022,0.12047687607740849,0.007336519641962215,0.294821343587675,0.5996,0.175,0.7886318647847607,0.7761406589993163,0.5541454401245997,1.1040596017878952,0.9437,0,1.001283,2307.431431,3205.660639
